Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,81.370003,81.449997,81.370003,81.440002,58.756454,370200
2005-01-04,81.410004,81.419998,81.260002,81.260002,58.626575,425300
2005-01-05,81.260002,81.320000,81.239998,81.279999,58.641064,273500
2005-01-06,81.300003,81.370003,81.300003,81.320000,58.669872,318800
2005-01-07,81.330002,81.339996,81.290001,81.330002,58.677124,142500
2005-01-10,81.320000,81.330002,81.260002,81.279999,58.641064,296100
2005-01-11,81.320000,81.320000,81.269997,81.300003,58.655449,296000
2005-01-12,81.290001,81.370003,81.290001,81.309998,58.662655,126400
2005-01-13,81.370003,81.410004,81.339996,81.410004,58.734837,104500
2005-01-14,81.349998,81.389999,81.279999,81.370003,58.705940,213100
2005-01-18,81.260002,81.339996,81.260002,81.339996,58.684303,167000
2005-01-19,81.339996,81.349998,81.279999,81.349998,58.691555,221700
2005-01-20,81.370003,81.430000,81.339996,81.419998,58.742046,156500
2005-01-21,81.400002,81.500000,81.400002,81.500000,58.799751,188000
2005-01-24,81.489998,81.489998,81.400002,81.449997,58.763699,325700
2005-01-25,81.430000,81.430000,81.360001,81.419998,58.742046,219300
2005-01-26,81.379997,81.440002,81.370003,81.389999,58.720390,114100
2005-01-27,81.370003,81.379997,81.330002,81.370003,58.705940,273700
2005-01-28,81.400002,81.449997,81.389999,81.410004,58.734837,101400
2005-01-31,81.400002,81.410004,81.339996,81.400002,58.727654,179500
2005-02-01,81.239998,81.279999,81.220001,81.250000,58.742779,215200
2005-02-02,81.230003,81.269997,81.199997,81.220001,58.721077,179400
2005-02-03,81.150002,81.199997,81.150002,81.169998,58.684940,270600
2005-02-04,81.250000,81.300003,81.199997,81.250000,58.742779,451400
2005-02-07,81.239998,81.250000,81.190002,81.230003,58.728333,345800
2005-02-08,81.209999,81.230003,81.169998,81.199997,58.706612,154400
2005-02-09,81.239998,81.370003,81.239998,81.349998,58.815102,415000
2005-02-10,81.339996,81.339996,81.260002,81.290001,58.771702,506600
2005-02-11,81.300003,81.320000,81.220001,81.250000,58.742779,298600
2005-02-14,81.250000,81.250000,81.180000,81.209999,58.713860,640800
2005-02-15,81.190002,81.239998,81.190002,81.220001,58.721077,261000
2005-02-16,81.220001,81.260002,81.139999,81.180000,58.692204,163100
2005-02-17,81.180000,81.230003,81.150002,81.220001,58.721077,443800
2005-02-18,81.169998,81.190002,81.099998,81.110001,58.641529,199100
2005-02-22,81.110001,81.169998,81.110001,81.139999,58.663235,177600
2005-02-23,81.139999,81.199997,81.129997,81.129997,58.655964,727500
2005-02-24,81.129997,81.169998,81.080002,81.110001,58.641529,223400
2005-02-25,81.110001,81.110001,81.050003,81.070000,58.612617,595100
2005-02-28,81.059998,81.080002,80.949997,81.019997,58.576523,502900
2005-03-01,80.900002,80.910004,80.820000,80.839996,58.564190,265100
2005-03-02,80.879997,80.930000,80.839996,80.889999,58.600399,390100
2005-03-03,80.930000,80.949997,80.870003,80.919998,58.622189,1341100
2005-03-04,80.980003,80.980003,80.910004,80.919998,58.622189,438000
2005-03-07,80.900002,80.949997,80.879997,80.889999,58.600399,429300
2005-03-08,80.879997,80.889999,80.820000,80.889999,58.600399,242400
2005-03-09,80.820000,80.900002,80.820000,80.860001,58.578693,376400
2005-03-10,80.870003,80.870003,80.790001,80.800003,58.535187,236900
2005-03-11,80.830002,80.830002,80.739998,80.779999,58.520729,758700
2005-03-14,80.779999,80.779999,80.720001,80.750000,58.498974,214900
2005-03-15,80.760002,80.790001,80.720001,80.720001,58.477238,258900
2005-03-16,80.820000,80.879997,80.779999,80.820000,58.549706,376100
2005-03-17,80.879997,80.900002,80.820000,80.849998,58.571415,224400
2005-03-18,80.849998,80.849998,80.800003,80.809998,58.542484,111200
2005-03-21,80.809998,80.860001,80.790001,80.860001,58.578693,1622400
2005-03-22,80.870003,80.919998,80.680000,80.720001,58.477238,1623900
2005-03-23,80.660004,80.720001,80.620003,80.709999,58.469997,216000
2005-03-24,80.709999,80.760002,80.669998,80.730003,58.484501,270500
2005-03-28,80.690002,80.709999,80.650002,80.690002,58.455490,865700
2005-03-29,80.680000,80.750000,80.680000,80.750000,58.498974,263600
2005-03-30,80.709999,80.779999,80.709999,80.760002,58.506226,168300
2005-03-31,80.800003,80.870003,80.790001,80.870003,58.585915,189200
2005-04-01,80.730003,80.769997,80.650002,80.730003,58.622272,779200
2005-04-04,80.720001,80.779999,80.699997,80.730003,58.622272,543700
2005-04-05,80.769997,80.779999,80.709999,80.750000,58.636772,134500
2005-04-06,80.779999,80.830002,80.769997,80.809998,58.680305,175200
2005-04-07,80.839996,80.860001,80.769997,80.779999,58.658531,294200
2005-04-08,80.730003,80.779999,80.720001,80.769997,58.651241,136900
2005-04-11,80.750000,80.800003,80.720001,80.769997,58.651241,208000
2005-04-12,80.750000,80.879997,80.730003,80.820000,58.687595,140300
2005-04-13,80.870003,80.940002,80.849998,80.940002,58.774742,262800
2005-04-14,80.949997,81.040001,80.940002,81.010002,58.825565,163100
2005-04-15,81.080002,81.139999,81.010002,81.139999,58.919930,292000
2005-04-18,81.139999,81.180000,81.080002,81.099998,58.890865,725600
2005-04-19,81.080002,81.220001,81.080002,81.199997,58.963528,1463600
2005-04-20,81.099998,81.199997,81.070000,81.169998,58.941734,496600
2005-04-21,81.110001,81.139999,81.010002,81.029999,58.840046,200900
2005-04-22,81.120003,81.120003,81.029999,81.050003,58.854599,141300
2005-04-25,81.070000,81.070000,81.029999,81.070000,58.869083,315100
2005-04-26,81.080002,81.089996,80.989998,81.050003,58.854599,192400
2005-04-27,81.129997,81.150002,81.059998,81.110001,58.898155,479900
2005-04-28,81.180000,81.209999,81.139999,81.180000,58.948986,273700
2005-04-29,81.150002,81.180000,81.080002,81.099998,58.890865,428400
2005-05-02,80.900002,80.949997,80.870003,80.919998,58.898186,246600
2005-05-03,80.919998,80.980003,80.879997,80.970001,58.934597,303200
2005-05-04,80.980003,81.010002,80.940002,81.000000,58.956364,621300
2005-05-05,81.070000,81.129997,81.000000,81.080002,59.014629,214600
2005-05-06,80.930000,80.940002,80.839996,80.900002,58.883648,213600
2005-05-09,80.860001,80.870003,80.820000,80.860001,58.854504,118700
2005-05-10,80.870003,80.959999,80.860001,80.919998,58.898186,229200
2005-05-11,80.989998,81.029999,80.949997,80.970001,58.934597,92800
2005-05-12,80.959999,81.010002,80.889999,81.010002,58.963734,216200
2005-05-13,81.070000,81.110001,81.029999,81.099998,59.029171,129900
2005-05-16,81.129997,81.129997,81.080002,81.080002,59.014629,129300
2005-05-17,81.120003,81.150002,81.080002,81.080002,59.014629,118800
2005-05-18,81.160004,81.209999,81.120003,81.160004,59.072853,302100
2005-05-19,81.089996,81.139999,81.040001,81.040001,58.985538,200900
2005-05-20,81.080002,81.089996,81.019997,81.040001,58.985538,143500
2005-05-23,81.089996,81.120003,81.059998,81.089996,59.021915,1662900
