Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,56.750000,56.750000,55.500000,55.889999,24.415762,31900
2005-01-04,55.889999,56.279999,55.049999,55.049999,24.048807,52500
2005-01-05,55.169998,55.169998,52.830002,53.220001,23.249378,77300
2005-01-06,53.150002,53.820000,53.150002,53.630001,23.428486,42200
2005-01-07,53.869999,53.880001,53.270000,53.509998,23.376060,24200
2005-01-10,53.450001,53.650002,53.200001,53.340000,23.301788,12500
2005-01-11,53.369999,53.400002,52.650002,52.799999,23.065889,25300
2005-01-12,52.900002,52.900002,51.740002,52.549999,22.956680,82800
2005-01-13,52.540001,53.400002,52.470001,52.549999,22.956680,34200
2005-01-14,53.040001,53.250000,52.799999,53.200001,23.240631,219900
2005-01-18,53.150002,53.779999,52.990002,53.720001,23.467804,26000
2005-01-19,53.900002,54.490002,53.630001,53.770000,23.489639,29600
2005-01-20,53.849998,54.009998,53.389999,53.599998,23.415382,32500
2005-01-21,53.549999,54.020000,53.360001,53.650002,23.437220,61200
2005-01-24,53.750000,53.799999,53.200001,53.220001,23.249378,18100
2005-01-25,53.500000,53.500000,52.209999,52.220001,22.812515,31000
2005-01-26,52.430000,52.430000,51.910000,52.060001,22.742615,26400
2005-01-27,52.240002,52.240002,51.389999,51.689999,22.580982,17200
2005-01-28,51.849998,52.009998,51.549999,51.770000,22.615923,65900
2005-01-31,52.160000,52.250000,51.270000,51.709999,22.589725,40500
2005-02-01,51.900002,52.169998,51.700001,52.090000,22.755726,25600
2005-02-02,52.299999,52.669998,52.080002,52.669998,23.009096,24500
2005-02-03,52.750000,53.000000,52.680000,52.830002,23.078995,13900
2005-02-04,52.980000,53.549999,52.980000,53.549999,23.393524,20000
2005-02-07,53.599998,53.779999,53.279999,53.369999,23.314905,40900
2005-02-08,53.500000,53.500000,53.299999,53.500000,23.371683,11500
2005-02-09,53.599998,53.930000,53.590000,53.840000,23.520220,19900
2005-02-10,53.950001,54.250000,53.619999,54.250000,23.699327,24100
2005-02-11,54.090000,54.439999,53.790001,54.410000,23.769234,27100
2005-02-14,54.500000,54.599998,54.250000,54.419998,23.773590,40600
2005-02-15,54.500000,54.700001,54.419998,54.660000,23.878441,38200
2005-02-16,54.700001,55.029999,54.389999,54.980000,24.018238,19400
2005-02-17,55.020000,55.110001,54.869999,54.939999,24.000757,23600
2005-02-18,54.689999,54.689999,54.169998,54.459999,23.791071,22900
2005-02-22,54.090000,54.090000,52.900002,52.900002,23.109573,100300
2005-02-23,53.200001,53.500000,52.700001,52.700001,23.022209,24000
2005-02-24,52.950001,52.950001,52.520000,52.740002,23.039686,15800
2005-02-25,52.770000,53.549999,52.770000,53.500000,23.371683,30500
2005-02-28,53.540001,53.669998,52.810001,53.349998,23.306158,55100
2005-03-01,53.250000,53.910000,53.250000,53.910000,23.550798,34900
2005-03-02,53.549999,53.810001,53.419998,53.549999,23.393524,15700
2005-03-03,53.549999,53.900002,53.439999,53.840000,23.520220,9900
2005-03-04,54.130001,54.849998,53.990002,54.849998,23.961441,24200
2005-03-07,55.000000,55.529999,54.680000,55.110001,24.075033,42800
2005-03-08,55.200001,55.200001,54.590000,54.799999,23.939583,16200
2005-03-09,54.799999,54.799999,53.209999,53.250000,23.262480,60700
2005-03-10,53.099998,53.799999,53.099998,53.610001,23.419743,58500
2005-03-11,53.500000,53.520000,53.000000,53.009998,23.157627,21200
2005-03-14,53.240002,53.750000,53.150002,53.750000,23.480904,40200
2005-03-15,54.270000,54.540001,53.599998,53.680000,23.450327,51500
2005-03-16,53.660000,53.700001,53.020000,53.040001,23.170729,40800
2005-03-17,53.439999,53.770000,53.419998,53.599998,23.415382,21100
2005-03-18,53.599998,53.650002,53.099998,53.410000,23.332375,22700
2005-03-21,53.299999,53.299999,52.770000,53.049999,23.175108,27100
